Title,Author,First Published,Ratings (out of 5),Number of Ratings
The Lord of the Rings,J.R.R. Tolkien,1954.0,4.547945,73
Novels (Hobbit / Lord of the Rings),J.R.R. Tolkien,1979.0,4.571429,21
The lord of the rings,Brian Sibley,2001.0,0.0,0
The Lord of the Ring,Phil Anderson,2006.0,0.0,0
Lord of the Rings,Cedco Publishing,2001.0,5.0,1
The lord of the rings,Jude Fisher,2001.0,0.0,0
Lord of the rings,Jim Pendrill,,0.0,0
The Lord of the Rings. Appendices,J.R.R. Tolkien,1999.0,4.0,2
Lord of the Rings the Fellowship of the Ring,Tania Cox,2020.0,0.0,0
The Lord of the Rings The Fellowship of the Ring Photo Guide,Alison Sage,2001.0,1.0,1
Lord of the Rings the Fellowship of the Ring,Raffaello De Siati,2020.0,0.0,0
The Lord of the Rings,Jane Chance,1992.0,0.0,0
The Lord of the Rings,Unknown,2012.0,0.0,0
The Lord of the Rings,Elijah Wood,,0.0,0
The Lord of the Rings,Liv Tyler,2002.0,0.0,0
The Lord of the Rings,Chris Conkling,1979.0,0.0,0
"The Lord of the Rings, Fellowship of the Ring 2003 Daily Calendar (Lord of the Rings)",Cedco Publishing,2002.0,0.0,0
The Lord of the Rings - War of the Ring,Mark Cohen,2003.0,0.0,0
The lord of the rings,Fran Walsh,2002.0,0.0,0
The Lord of the rings,Brian Sibley,2001.0,0.0,0
"The ""Lord of the Rings - The Fellowship of the Rings""",Prima Development,2002.0,0.0,0
The Lord of the rings location guidebook,Ian Brodie,2002.0,0.0,0
The Lord of the Rings Trilogy,Cedco Publishing,2004.0,0.0,0
Lord of the Rings,Unknown,,0.0,0
Lords of the Ring,Bruce Blackadar,1987.0,0.0,0
Official the lôrd of the Rîngs 2022 Calendar,The Lord Of The Rings Publishing,2021.0,0.0,0
The Lord of the Rings,Mark Cohen,2002.0,0.0,0
The lord of the rings,Wayne G. Hammond,2005.0,0.0,0
The Lord of the Rings - The Fellowship of the Ring,Scruffy Productions,2002.0,0.0,0
The Lord of the Rings: The Fellowship of the Ring,Unknown,,0.0,0
Lords of the ring,Harry Lansdown,1991.0,0.0,0
J. R. R. Tolkien's The Lord of the Rings,Harold Bloom,2000.0,0.0,0
The Lord of the Rings,Mark Cohen,,0.0,0
Lord of the Rings,Edwin Penfold,2019.0,0.0,0
Lord of the Rings,Elijah Wood,2010.0,0.0,0
Lord of the Rings,Betsy Gallup,2006.0,0.0,0
Lord of the Rings,Prima Temp Authors Staff,2004.0,0.0,0
The Lord of the Rings: The Fellowship of the Ring,Unknown,,0.0,0
Lord of the Rings Trivia : the Lord of the Rings Facts and Quizzes,Taylor MAELEE,2021.0,0.0,0
Realm of the Ring Lords,Laurence Gardner,2000.0,0.0,0
Lord of the Rings Film Facts : Everything for the Lord of the Rings Fans,Butcher MARTESHA,2021.0,0.0,0
The Lord of the Rings,Rick Priestly,2001.0,0.0,0
The Lord of the Rings,Patrick Gardner,2002.0,0.0,0
The Fellowship of the Ring Visual Companion (The Lord of The Rings),Jude Fisher,2001.0,0.0,0
"The "" Lord of the Rings "" Jigsaw Book",J.R.R. Tolkien,2002.0,0.0,0
"The Lord of the Rings, Part 1",J.R.R. Tolkien,2002.0,3.0,1
The Fellowship of the Ring Journal (The Lord of the Rings),Cedco Publishing,2001.0,0.0,0
Lord of the Rings,Carla Fritsch,2004.0,0.0,0
Lords of the Ring,Lansdown,1999.0,0.0,0
Lord of the rings,Bo Hansson,,0.0,0
Lords of the ring,Peter Corris,1980.0,0.0,0
Lord of the Ring's,V. K. VIJAY,2021.0,0.0,0
Lord of the Rings,Various Artists,2002.0,0.0,0
Lord of the rings,jude Fisher,,0.0,0
Lord of the Rings,Unknown,,0.0,0
Lord of the Rings,J. R. R. Tolkien,2024.0,0.0,0
Lord of the Rings--War of the Ring - Expansion #1,Suzette Bell,2004.0,0.0,0
